Status,Family size,AMI,Gender,Monthly Rent,Back Rent Claimed,zip,0,1,,,,,,1
Application on Hold,1,30,Male,"$1,403.61 ","$4,210.83 ",90065,4210.83,1403.61,,,,,,1
Tenant Approved: Tenant & Landlord Under Review,1,30,Male,"$1,403.61 ","$2,807.22 ",90010,2807.22,1403.61,,,,,,1
Tenant Application Received,3,30,Female,"$1,404.00 ","$16,848.00 ",90020,0,1404,,,,,,1
Tenant Application Received,4,30,Female,"$1,404.00 ","$12,636.00 ",90004,0,1404,,,,,,1
Tenant Application Received,2,30,Female,"$1,404.00 ","$12,636.00 ",90008,0,1404,,,,,,1
Tenant Approved: Landlord Pending Initial Submission of Documents,2,30,Female,"$1,404.00 ","$8,424.00 ",90003,0,1404,,,,,,1
Tenant Approved: Landlord Eligibility Under Review,2,30,Female,"$1,404.00 ","$8,424.00 ",90016,0,1404,,,,,,1
Closed Ineligible,5,30,Female,"$1,404.00 ","$7,124.00 ",90042,7124,1404,,,,,,1
Closed Ineligible,3,30,Female,"$1,404.00 ","$5,616.00 ",90044,5616,1404,,,,,,1
Tenant Approved: Landlord Eligibility Under Review,1,30,Female,"$1,404.00 ","$4,212.00 ",91601,4212,1404,,,,,,1
Application on Hold,2,30,Female,"$1,404.00 ","$1,496.80 ",90018,1496.8,1404,,,,,,1
Tenant Approved: Pending Payment to the Landlord,4,30,Female,"$1,404.00 ","$1,404.00 ",90744,1404,1404,,,,,,1
Closed Ineligible,1,30,Female,"$1,404.00 ","$1,404.00 ",91107,1404,1404,,,,,,1
Tenant Application Received,1,30,Female,"$1,404.44 ","$12,639.96 ",91335,0,1404.44,,,,,,1
Tenant Application Received,4,30,Female,"$1,404.44 ","$9,831.08 ",91306,0,1404.44,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Gender Non-Confirming,"$1,404.44 ","$5,508.88 ",90029,5508.88,1404.44,,,,,,1
Application on Hold,1,30,Male,"$1,404.44 ","$4,208.88 ",91401,4208.88,1404.44,,,,,,1
Tenant Approved: Landlord Eligibility Under Review,2,30,Female,"$1,404.44 ","$1,404.44 ",90032,1404.44,1404.44,,,,,,1
Closed Ineligible,1,30,Female,"$1,404.50 ",$650.50 ,90017,650.5,1404.5,,,,,,1
Application on Hold,3,30,Female,"$1,404.56 ","$8,417.70 ",90020,8417.7,1404.56,,,,,,1
Tenant Application Received,6,30,Female,"$1,405.00 ","$32,200.00 ",91402,0,1405,,,,,,1
Tenant Eligibility Under Review,3,30,Female,"$1,405.00 ","$12,645.00 ",90026,0,1405,,,,,,1
Tenant Application Received,1,30,Male,"$1,405.00 ","$11,274.94 ",91306,0,1405,,,,,,1
Application on Hold,4,30,Male,"$1,405.00 ","$8,430.00 ",90037,0,1405,,,,,,1
Application on Hold,3,30,Female,"$1,405.00 ","$4,215.00 ",90017,4215,1405,,,,,,1
Tenant Pending Final Submission of Documents,2,30,Female,"$1,405.00 ","$4,215.00 ",90020,4215,1405,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Female,"$1,405.00 ","$1,405.00 ",91423,1405,1405,,,,,,1
Tenant Approved: Closed Landlord Paid,1,30,Male,"$1,405.10 ","$6,561.43 ",90028,6561.43,1405.1,,,,,,1
Tenant Application Received,2,30,Female,"$1,406.00 ","$25,308.00 ",90066,0,1406,,,,,,1
Tenant Application Received,4,30,Male,"$1,406.00 ","$16,874.16 ",90034,0,1406,,,,,,1
Tenant Pending Final Submission of Documents,2,30,Male,"$1,406.00 ","$8,400.00 ",90018,8400,1406,,,,,,1
Tenant Approved: Landlord Eligibility Under Review,7,30,Male,"$1,406.00 ","$5,624.00 ",90019,5624,1406,,,,,,1
Tenant Approved: Landlord Pending Initial Submission of Documents,1,30,Female,"$1,406.00 ","$5,624.00 ",91605,5624,1406,,,,,,1
Tenant Pending Final Submission of Documents,5,30,Male,"$1,406.00 ","$1,533.00 ",90065,1533,1406,,,,,,1
Tenant Approved: Landlord Pending Final Submission of Documents,4,30,Male,"$1,407.09 ","$1,336.42 ",90025,1336.42,1407.09,,,,,,1
Closed Ineligible,1,30,Female,"$1,407.13 ","$4,221.39 ",90046,4221.39,1407.13,,,,,,1
Tenant Application Received,1,30,Female,"$1,407.75 ","$12,669.75 ",90045,0,1407.75,,,,,,1
Application on Hold,4,30,Female,"$1,408.00 ","$9,971.00 ",90008,0,1408,,,,,,1
Tenant Approved: Landlord Final Notification to Respond,3,30,Female,"$1,408.00 ","$4,224.00 ",91343,4224,1408,,,,,,1
Tenant Application Received,3,30,Male,"$1,408.44 ","$30,985.68 ",91343,0,1408.44,,,,,,1
Tenant Approved: Tenant & Landlord Under Review,3,30,Female,"$1,408.44 ","$4,225.32 ",90005,4225.32,1408.44,,,,,,1
Tenant Application Received,1,30,Female,"$1,408.83 ","$8,589.97 ",91316,0,1408.83,,,,,,1
Tenant Application Received,4,30,Female,"$1,409.00 ","$25,362.00 ",90012,0,1409,,,,,,1
Tenant Application Received,1,30,Male,"$1,409.00 ","$9,863.00 ",90028,0,1409,,,,,,1
Tenant Approved: Closed Landlord Paid,1,30,Female,"$1,409.00 ","$7,207.20 ",90027,7207.2,1409,,,,,,1
Tenant Pending Final Submission of Documents,3,30,Female,"$1,409.00 ","$5,636.00 ",90037,5636,1409,,,,,,1
Tenant Approved: Landlord Final Notification to Respond,5,30,Male,"$1,409.00 ","$2,715.00 ",90037,2715,1409,,,,,,1
Tenant Application Received,2,30,Female,"$1,410.00 ","$28,200.00 ",90043,0,1410,,,,,,1
Tenant Application Received,1,30,Female,"$1,410.00 ","$19,740.00 ",90028,0,1410,,,,,,1
Tenant Application Received,1,30,Male,"$1,410.00 ","$19,440.00 ",90005,0,1410,,,,,,1
Closed Ineligible,2,30,Female,"$1,410.00 ","$12,780.00 ",90022,0,1410,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Male,"$1,410.00 ","$5,640.00 ",90004,5640,1410,,,,,,1
Closed Ineligible,4,30,Male,"$1,410.00 ","$5,558.00 ",91748,5558,1410,,,,,,1
Tenant Approved: Landlord Final Notification to Respond,1,30,Male,"$1,410.00 ","$3,750.00 ",90005-3720,3750,1410,,,,,,1
Application on Hold,1,30,Female,"$1,410.00 ","$2,463.07 ",90020,2463.07,1410,,,,,,1
Tenant Application Received,3,30,Female,"$1,410.37 ","$28,707.30 ",91401,0,1410.37,,,,,,1
Application on Hold,3,30,Female,"$1,411.00 ","$6,144.00 ",91311,6144,1411,,,,,,1
Closed Ineligible,6,50,Female,"$1,411.00 ","$4,734.25 ",93536,4734.25,1411,,,,,,1
Application on Hold,4,30,Female,"$1,412.00 ","$24,000.00 ",90023,0,1412,,,,,,1
Tenant Pending Final Submission of Documents,2,30,Female,"$1,412.00 ","$2,824.00 ",90029,2824,1412,,,,,,1
Tenant Application Received,3,30,Female,"$1,412.13 ","$14,121.30 ",90023,0,1412.13,,,,,,1
Closed Ineligible,4,30,Female,"$1,412.13 ","$5,648.52 ",90023,5648.52,1412.13,,,,,,1
Tenant Application Received,4,30,Male,"$1,412.40 ","$22,440.00 ",90004,0,1412.4,,,,,,1
Application on Hold,1,30,Female,"$1,412.61 ","$8,475.66 ",90028,0,1412.61,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Female,"$1,413.00 ","$8,479.00 ",90731,0,1413,,,,,,1
Tenant Application Received,2,30,Male,"$1,413.34 ","$11,305.12 ",90005,0,1413.34,,,,,,1
Tenant Application Received,4,30,Male,"$1,414.00 ","$15,118.00 ",91344,0,1414,,,,,,1
Tenant Pending Final Submission of Documents,6,30,Female,"$1,414.00 ","$8,484.00 ",90731,0,1414,,,,,,1
Tenant Pending Final Submission of Documents,3,30,Female,"$1,414.00 ","$4,267.00 ",90026,4267,1414,,,,,,1
Manager Approval Required,2,30,Female,"$1,414.00 ","$2,828.00 ",90003,2828,1414,,,,,,1
Tenant Approved: Landlord Pending Initial Submission of Documents,1,30,Female,"$1,414.00 ","$2,295.59 ",90004,2295.59,1414,,,,,,1
Tenant Application Received,1,30,Male,"$1,414.22 ","$13,182.56 ",91335,0,1414.22,,,,,,1
Tenant Approved: Landlord Pending Initial Submission of Documents,1,30,Female,"$1,414.44 ","$1,913.74 ",91423,1913.74,1414.44,,,,,,1
Closed Ineligible,6,30,Female,"$1,415.00 ","$8,490.00 ",90022,0,1415,,,,,,1
Closed Ineligible,3,50,Female,"$1,415.00 ","$7,898.00 ",90745,7898,1415,,,,,,1
Tenant Approved: Closed Landlord Paid,4,30,Male,"$1,415.00 ","$5,660.00 ",91605,5660,1415,,,,,,1
Tenant Approved: Landlord Final Notification to Respond,1,30,Male,"$1,415.00 ","$5,660.00 ",90029,5660,1415,,,,,,1
Tenant Approved: Landlord Final Notification to Respond,1,30,Male,"$1,415.00 ","$2,830.00 ",90004,2830,1415,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Female,"$1,415.00 ","$1,415.00 ",90039,1415,1415,,,,,,1
Tenant Application Received,2,30,Male,"$1,415.22 ","$9,352.20 ",90026,0,1415.22,,,,,,1
Tenant Application Received,2,30,Male,"$1,416.00 ","$48,144.00 ",91316,0,1416,,,,,,1
Tenant Approved: Landlord Eligibility Under Review,1,30,Male,"$1,416.00 ","$4,814.00 ",91304,4814,1416,,,,,,1
Application on Hold,1,30,Female,"$1,416.83 ","$6,771.05 ",91316,6771.05,1416.83,,,,,,1
Tenant Application Received,1,30,Male,"$1,417.50 ","$18,427.50 ",90028,0,1417.5,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Female,"$1,417.60 ","$5,052.80 ",91356,5052.8,1417.6,,,,,,1
Tenant Application Received,1,30,Female,"$1,417.61 ","$21,800.00 ",90046,0,1417.61,,,,,,1
Tenant Application Received,1,30,Male,"$1,418.00 ","$17,016.00 ",90034,0,1418,,,,,,1
Tenant Application Received,2,30,Male,"$1,418.00 ","$11,418.00 ",90018,0,1418,,,,,,1
Application on Hold,4,30,Female,"$1,418.00 ","$8,004.00 ",90003,8004,1418,,,,,,1
Tenant Application Received,5,30,Female,"$1,418.00 ","$2,835.05 ",90057,2835.05,1418,,,,,,1
Tenant Approved: Closed Landlord Paid,5,30,Male,"$1,418.00 ","$1,418.00 ",90026,1418,1418,,,,,,1
Tenant Approved: Landlord Final Notification to Respond,3,30,Female,"$1,418.00 ","$1,418.00 ",91343,1418,1418,,,,,,1
Tenant Pending Final Submission of Documents,2,30,Female,"$1,418.64 ","$1,418.64 ",90005,1418.64,1418.64,,,,,,1
Application on Hold,2,30,Female,"$1,418.98 ","$1,418.98 ",90011,1418.98,1418.98,,,,,,1
Application on Hold,4,30,Male,"$1,419.00 ","$7,097.50 ",91405,7097.5,1419,,,,,,1
Tenant Approved: Pending Payment to the Landlord,3,30,Female,"$1,419.00 ","$7,095.00 ",91331,7095,1419,,,,,,1
Tenant Pending Final Submission of Documents,3,30,Male,"$1,419.00 ","$5,676.76 ",90033,5676.76,1419,,,,,,1
Tenant Approved: Closed Landlord Paid,2,30,Female,"$1,419.60 ","$5,741.68 ",91303,5741.68,1419.6,,,,,,1
Tenant Application Received,3,30,Female,"$1,420.00 ","$29,820.00 ",90018,0,1420,,,,,,1
Tenant Application Received,1,30,Female,"$1,420.00 ","$15,800.00 ",90006,0,1420,,,,,,1
Tenant Application Received,1,30,Female,"$1,420.00 ","$13,502.19 ",91601,0,1420,,,,,,1
Tenant Application Received,1,30,Female,"$1,420.00 ","$12,651.00 ",90019,0,1420,,,,,,1
Tenant Application Received,2,30,Male,"$1,420.00 ","$11,360.00 ",91364,0,1420,,,,,,1
Closed Ineligible,3,30,Female,"$1,420.00 ","$8,520.00 ",90022,0,1420,,,,,,1
Closed Ineligible,1,30,Female,"$1,420.00 ","$8,520.00 ",90029,0,1420,,,,,,1
Tenant Pending Final Submission of Documents,4,30,Male,"$1,420.00 ","$7,327.00 ",90023,7327,1420,,,,,,1
Application on Hold,4,30,Male,"$1,420.00 ","$5,680.00 ",90020,5680,1420,,,,,,1
Application on Hold,1,30,Female,"$1,420.00 ","$4,260.09 ",90731,4260.09,1420,,,,,,1
Tenant Approved: Landlord Eligibility Under Review,1,30,Male,"$1,420.00 ","$4,260.00 ",90026,4260,1420,,,,,,1
Tenant Pending Final Submission of Documents,3,30,Male,"$1,420.00 ","$4,260.00 ",91405,4260,1420,,,,,,1
Tenant Approved: Landlord Final Notification to Respond,1,30,Male,"$1,420.00 ","$3,816.98 ",91306,3816.98,1420,,,,,,1
Closed Ineligible,3,30,Female,"$1,420.00 ","$2,840.00 ",90022,2840,1420,,,,,,1
Tenant Approved: Tenant & Landlord Under Review,1,30,Male,"$1,420.54 ","$4,561.62 ",90016,4561.62,1420.54,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Male,"$1,420.79 ","$1,420.79 ",90057,1420.79,1420.79,,,,,,1
Tenant Pending Final Submission of Documents,2,30,Female,"$1,420.82 ","$2,916.90 ",90036,2916.9,1420.82,,,,,,1
Tenant Application Received,1,30,Male,"$1,421.00 ","$18,615.00 ",90003,0,1421,,,,,,1
Tenant Pending Final Submission of Documents,3,30,Female,"$1,421.00 ","$5,684.00 ",90042,5684,1421,,,,,,1
Closed Ineligible,2,30,Male,"$1,421.00 ","$3,917.56 ",90022,3917.56,1421,,,,,,1
Closed Ineligible,2,30,Male,"$1,421.00 ","$1,958.78 ",90022,1958.78,1421,,,,,,1
Tenant Pending Final Submission of Documents,3,30,Female,"$1,421.00 ","$1,421.00 ",91605,1421,1421,,,,,,1
Tenant Approved: Tenant & Landlord Under Review,1,30,Female,"$1,421.83 ","$2,645.82 ",91411,2645.82,1421.83,,,,,,1
Tenant Application Received,2,30,Female,"$1,422.00 ","$25,596.00 ",90008,0,1422,,,,,,1
Tenant Approved: Landlord Eligibility Under Review,1,30,Male,"$1,422.00 ","$5,582.90 ",90004,5582.9,1422,,,,,,1
Tenant Approved: Landlord Eligibility Under Review,3,30,Female,"$1,422.00 ","$2,844.00 ",90006,2844,1422,,,,,,1
Tenant Application Received,1,30,Female,"$1,422.63 ","$16,593.96 ",90020,0,1422.63,,,,,,1
Application on Hold,4,30,Female,"$1,422.75 ","$1,422.75 ",90033,1422.75,1422.75,,,,,,1
Tenant Approved: Pending Payment to the Landlord,1,30,Female,"$1,423.00 ","$2,846.00 ",90048,2846,1423,,,,,,1
Tenant Application Received,4,30,Female,"$1,423.00 ","$2,467.00 ",90062,2467,1423,,,,,,1
Tenant Approved: Closed Landlord Paid,1,30,Female,"$1,423.17 ",$996.00 ,91606,996,1423.17,,,,,,1
Tenant Pending Final Submission of Documents,3,30,Female,"$1,424.00 ","$8,544.00 ",90044,0,1424,,,,,,1
Application on Hold,1,30,Male,"$1,424.00 ","$4,273.00 ",91402,4273,1424,,,,,,1
Tenant Approved: Closed Landlord Paid,1,30,Female,"$1,424.09 ","$2,848.18 ",90036,2848.18,1424.09,,,,,,1
Tenant Application Received,1,80,Female,"$1,424.15 ","$5,696.60 ",90043,5696.6,1424.15,,,,,,1
Application on Hold,4,30,Female,"$1,424.98 ","$2,849.96 ",90057,2849.96,1424.98,,,,,,1
Tenant Application Received,1,30,Female,"$1,424.99 ","$16,396.96 ",90027,0,1424.99,,,,,,1
Tenant Application Received,1,30,Male,"$1,425.00 ","$34,200.00 ",91605,0,1425,,,,,,1
Tenant Application Received,2,30,Male,"$1,425.00 ","$28,500.00 ",91606,0,1425,,,,,,1
Application on Hold,1,30,Female,"$1,425.00 ","$25,210.07 ",91304,0,1425,,,,,,1
Tenant Application Received,1,30,Male,"$1,425.00 ","$22,800.00 ",90006,0,1425,,,,,,1
Closed Ineligible,2,80,Male,"$1,425.00 ","$22,800.00 ",90250,0,1425,,,,,,1
Closed Ineligible,4,30,Female,"$1,425.00 ","$18,525.00 ",90063,0,1425,,,,,,1
Tenant Application Received,3,30,Female,"$1,425.00 ","$18,375.00 ",90018,0,1425,,,,,,1
Tenant Application Received,2,30,Female,"$1,425.00 ","$17,100.00 ",90004,0,1425,,,,,,1
Closed Ineligible,1,30,Male,"$1,425.00 ","$15,675.00 ",90701,0,1425,,,,,,1
Tenant Application Received,3,30,Female,"$1,425.00 ","$14,250.00 ",90018,0,1425,,,,,,1
Tenant Application Received,1,30,Trans Male,"$1,425.00 ","$12,963.00 ",90028,0,1425,,,,,,1
Closed Ineligible,1,30,Male,"$1,425.00 ","$12,825.00 ",90250,0,1425,,,,,,1
Tenant Application Received,1,30,Male,"$1,425.00 ","$12,825.00 ",91601,0,1425,,,,,,1
Tenant Application Received,1,30,Female,"$1,425.00 ","$12,825.00 ",90006,0,1425,,,,,,1
Tenant Application Received,2,30,Female,"$1,425.00 ","$12,825.00 ",90025,0,1425,,,,,,1
Tenant Application Received,1,30,Male,"$1,425.00 ","$11,400.00 ",90019,0,1425,,,,,,1
Tenant Application Received,1,30,Trans Female,"$1,425.00 ","$11,400.00 ",90034,0,1425,,,,,,1
Tenant Application Received,4,30,Female,"$1,425.00 ","$10,325.00 ",90033,0,1425,,,,,,1
Closed Ineligible,2,50,Male,"$1,425.00 ","$9,975.00 ",90250,0,1425,,,,,,1
Tenant Application Received,1,30,Male,"$1,425.00 ","$9,975.00 ",90020,0,1425,,,,,,1
Tenant Application Received,1,30,Female,"$1,425.00 ","$9,975.00 ",90020,0,1425,,,,,,1
Tenant Application Received,3,30,Female,"$1,425.00 ","$9,599.10 ",91352,0,1425,,,,,,1
Tenant Pending Final Submission of Documents,2,30,Female,"$1,425.00 ","$8,620.00 ",91606,0,1425,,,,,,1
Tenant Application Received,3,30,Female,"$1,425.00 ","$8,011.42 ",91402,8011.42,1425,,,,,,1
Tenant Pending Final Submission of Documents,5,30,Female,"$1,425.00 ","$7,125.00 ",90044,7125,1425,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Female,"$1,425.00 ","$7,075.00 ",91406,7075,1425,,,,,,1
Tenant Application Received,1,30,Female,"$1,425.00 ","$6,908.00 ",90006,6908,1425,,,,,,1
Tenant Approved: Landlord Pending Initial Submission of Documents,1,30,Female,"$1,425.00 ","$6,123.06 ",91606,6123.06,1425,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Male,"$1,425.00 ","$6,000.00 ",90008,6000,1425,,,,,,1
Application on Hold,1,30,Male,"$1,425.00 ","$5,700.00 ",91401,5700,1425,,,,,,1
Tenant Approved: Closed Landlord Paid,6,30,Female,"$1,425.00 ","$5,700.00 ",90001,5700,1425,,,,,,1
Tenant Approved: Landlord Eligibility Under Review,4,30,Female,"$1,425.00 ","$4,275.00 ",91335,4275,1425,,,,,,1
Application on Hold,1,30,Female,"$1,425.00 ","$3,201.72 ",90004,3201.72,1425,,,,,,1
Application on Hold,1,30,Trans Female,"$1,425.00 ","$2,956.62 ",90038,2956.62,1425,,,,,,1
Closed Ineligible,2,30,Male,"$1,425.00 ","$2,750.00 ",90802,2750,1425,,,,,,1
Tenant Pending Final Submission of Documents,2,30,Female,"$1,425.00 ","$2,348.00 ",90006,2348,1425,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Male,"$1,425.00 ","$2,235.95 ",90006,2235.95,1425,,,,,,1
Closed Ineligible,2,80,Female,"$1,425.00 ","$2,085.00 ",90043,2085,1425,,,,,,1
Closed Ineligible,1,30,Female,"$1,425.00 ","$1,425.00 ",90806,1425,1425,,,,,,1
Tenant Pending Final Submission of Documents,2,30,Female,"$1,425.00 ","$1,425.00 ",91405,1425,1425,,,,,,1
Closed Ineligible,1,30,Female,"$1,425.00 ","$1,425.00 ",91801,1425,1425,,,,,,1
Tenant Pending Final Submission of Documents,3,30,Female,"$1,425.00 ","$1,425.00 ",90016,1425,1425,,,,,,1
Tenant Approved: Landlord Eligibility Under Review,1,30,Male,"$1,425.00 ","$1,425.00 ",91042,1425,1425,,,,,,1
Tenant Approved: Landlord Pending Initial Submission of Documents,1,30,Male,"$1,425.00 ","$1,425.00 ",90004,1425,1425,,,,,,1
Tenant Application Received,1,30,Male,"$1,426.00 ","$30,196.00 ",91601,0,1426,,,,,,1
Tenant Application Received,1,30,Male,"$1,426.00 ","$10,715.40 ",90012,0,1426,,,,,,1
Tenant Application Received,4,30,Male,"$1,426.00 ","$9,982.00 ",90008,0,1426,,,,,,1
Tenant Approved: Pending Payment to the Landlord,1,30,Male,"$1,426.00 ","$1,950.75 ",90027,1950.75,1426,,,,,,1
Tenant Application Received,2,30,Female,"$1,426.41 ","$12,211.28 ",90027,0,1426.41,,,,,,1
Application on Hold,5,30,Male,"$1,426.54 ","$5,706.16 ",91401,5706.16,1426.54,,,,,,1
Tenant Application Received,1,30,Female,"$1,426.61 ","$32,802.37 ",91316,0,1426.61,,,,,,1
Tenant Application Received,1,30,Male,"$1,426.91 ","$12,842.19 ",90020,0,1426.91,,,,,,1
Tenant Application Received,1,30,Male,"$1,427.00 ","$59,934.00 ",90021,0,1427,,,,,,1
Tenant Application Received,8+,30,Female,"$1,427.00 ","$27,465.00 ",90033,0,1427,,,,,,1
Tenant Application Received,1,30,Male,"$1,427.61 ","$10,003.27 ",90046,0,1427.61,,,,,,1
Tenant Application Received,1,30,Female,"$1,427.90 ","$17,134.80 ",90034,0,1427.9,,,,,,1
Application on Hold,3,30,Male,"$1,428.00 ","$6,368.00 ",91606,6368,1428,,,,,,1
Tenant Pending Final Submission of Documents,3,30,Female,"$1,428.00 ","$4,048.00 ",90002,4048,1428,,,,,,1
Tenant Application Received,1,30,Female,"$1,428.04 ","$15,708.44 ",90008,0,1428.04,,,,,,1
Application on Hold,2,30,Female,"$1,428.61 ","$10,112.41 ",90016,0,1428.61,,,,,,1
Tenant Approved: Landlord Eligibility Under Review,2,30,Female,"$1,428.61 ","$7,177.49 ",90744,7177.49,1428.61,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Male,"$1,428.61 ","$2,857.22 ",90006,2857.22,1428.61,,,,,,1
Application on Hold,5,30,Female,"$1,428.70 ","$8,572.20 ",90008,0,1428.7,,,,,,1
Tenant Pending Final Submission of Documents,3,30,Male,"$1,428.83 ","$4,367.27 ",90006,4367.27,1428.83,,,,,,1
Tenant Application Received,2,30,Female,"$1,429.00 ","$21,435.00 ",90020,0,1429,,,,,,1
Application on Hold,6,30,Female,"$1,429.00 ","$1,429.00 ",91405,1429,1429,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Male,"$1,429.10 ","$1,429.10 ",90035,1429.1,1429.1,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Male,"$1,429.42 ","$17,227.18 ",90019,0,1429.42,,,,,,1
Application on Hold,1,30,Female,"$1,429.44 ","$1,429.44 ",90027,1429.44,1429.44,,,,,,1
Tenant Application Received,1,30,Female,"$1,430.00 ","$20,020.00 ",90028,0,1430,,,,,,1
Tenant Application Received,3,30,Female,"$1,430.00 ","$18,200.00 ",91306,0,1430,,,,,,1
Closed Ineligible,1,30,Female,"$1,430.00 ","$17,160.00 ",90043,0,1430,,,,,,1
Tenant Application Received,1,30,Female,"$1,430.00 ","$11,440.00 ",91345,0,1430,,,,,,1
Application on Hold,1,30,I prefer not to answer,"$1,430.00 ","$8,580.00 ",90034,0,1430,,,,,,1
Closed Ineligible,3,30,Female,"$1,430.00 ","$8,580.00 ",91016,0,1430,,,,,,1
Tenant Pending Final Submission of Documents,4,30,Female,"$1,430.00 ","$7,516.00 ",90004,7516,1430,,,,,,1
Application on Hold,1,30,Male,"$1,430.00 ","$7,150.00 ",90016,7150,1430,,,,,,1
Closed Ineligible,2,30,Female,"$1,430.00 ","$7,150.00 ",91340,7150,1430,,,,,,1
Tenant Eligibility Under Review,2,30,Male,"$1,430.00 ","$4,290.00 ",90033,4290,1430,,,,,,1
Application on Hold,2,30,Female,"$1,430.00 ","$3,709.00 ",91335,3709,1430,,,,,,1
Tenant Approved: Closed Landlord Paid,4,30,Female,"$1,430.00 ","$2,983.20 ",90028,2983.2,1430,,,,,,1
Tenant Approved: Closed Landlord Paid,2,30,Female,"$1,430.00 ","$2,860.00 ",91605,2860,1430,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Male,"$1,430.00 ","$2,860.00 ",90006,2860,1430,,,,,,1
Tenant Approved: Tenant & Landlord Under Review,1,30,Male,"$1,430.00 ","$1,430.00 ",90005,1430,1430,,,,,,1
Tenant Approved: Tenant & Landlord Under Review,1,30,Female,"$1,430.00 ","$1,170.00 ",91303,1170,1430,,,,,,1
Application on Hold,1,30,Male,"$1,430.22 ","$5,720.88 ",90744,5720.88,1430.22,,,,,,1
Tenant Eligibility Under Review,1,30,Male,"$1,430.22 ","$2,008.88 ",90036,2008.88,1430.22,,,,,,1
Tenant Application Received,2,50,Female,"$1,431.00 ","$17,172.00 ",90291,0,1431,,,,,,1
Tenant Application Received,6,30,Female,"$1,431.00 ","$11,448.00 ",90007,0,1431,,,,,,1
Tenant Application Received,1,30,Female,"$1,431.00 ","$10,017.00 ",91406,0,1431,,,,,,1
Tenant Pending Final Submission of Documents,4,30,Female,"$1,431.00 ","$10,017.00 ",90044,0,1431,,,,,,1
Closed Ineligible,2,30,Female,"$1,431.00 ","$8,400.00 ",91104,8400,1431,,,,,,1
Application on Hold,3,30,Male,"$1,431.00 ","$3,766.00 ",91406,3766,1431,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Female,"$1,431.44 ","$1,094.00 ",90731,1094,1431.44,,,,,,1
Tenant Pending Final Submission of Documents,3,30,Female,"$1,431.61 ","$2,863.22 ",90006,2863.22,1431.61,,,,,,1
Tenant Pending Final Submission of Documents,4,30,Female,"$1,431.70 ","$5,726.80 ",90012,5726.8,1431.7,,,,,,1
Tenant Application Received,3,30,Female,"$1,432.00 ","$24,948.83 ",90008,0,1432,,,,,,1
Tenant Application Received,4,30,Female,"$1,432.00 ","$12,762.00 ",91401,0,1432,,,,,,1
Application on Hold,4,30,Female,"$1,432.00 ","$7,160.00 ",90005,7160,1432,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Male,"$1,432.16 ","$4,160.87 ",90006,4160.87,1432.16,,,,,,1
Tenant Application Received,1,30,Female,"$1,433.00 ","$20,062.00 ",90036,0,1433,,,,,,1
Tenant Approved: Closed Landlord Paid,2,30,I prefer not to answer,"$1,433.26 ","$2,866.52 ",91423,2866.52,1433.26,,,,,,1
Tenant Application Received,5,30,Female,"$1,433.61 ","$6,740.49 ",91601,6740.49,1433.61,,,,,,1
Tenant Application Received,2,30,Female,"$1,434.00 ","$18,736.78 ",91343,0,1434,,,,,,1
Tenant Application Received,1,30,Female,"$1,434.00 ","$11,472.00 ",90008,0,1434,,,,,,1
Tenant Approved: Landlord Pending Final Submission of Documents,5,30,Female,"$1,434.00 ","$4,302.00 ",90044,4302,1434,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Female,"$1,434.00 ","$2,346.00 ",90006,2346,1434,,,,,,1
Tenant Pending Final Submission of Documents,5,30,Male,"$1,434.34 ","$8,606.04 ",91402,0,1434.34,,,,,,1
Tenant Approved: Landlord Eligibility Under Review,2,30,Male,"$1,434.51 ","$1,434.51 ",91326,1434.51,1434.51,,,,,,1
Tenant Application Received,2,30,Male,"$1,435.00 ","$10,045.00 ",90011,0,1435,,,,,,1
Tenant Application Received,1,30,Female,"$1,435.00 ","$6,480.50 ",91405,6480.5,1435,,,,,,1
Tenant Eligibility Under Review,1,30,Male,"$1,435.00 ","$5,740.00 ",91335,5740,1435,,,,,,1
Tenant Approved: Pending Payment to the Landlord,1,30,Male,"$1,435.00 ","$5,530.00 ",90004,5530,1435,,,,,,1
Application on Hold,5,30,Female,"$1,435.00 ","$4,305.00 ",91402,4305,1435,,,,,,1
Tenant Approved: Closed Landlord Paid,1,30,Male,"$1,435.00 ","$3,530.00 ",91605,3530,1435,,,,,,1
Closed Ineligible,1,30,Female,"$1,435.00 ","$2,270.00 ",90250,2270,1435,,,,,,1
