Status,Family size,AMI,Race,Gender,Monthly Rent,Back Rent Claimed,zip,Council District
Tenant Application Received,1,30,White,Female,"$1,715.00","$20,411.79",91303,3
Tenant Pending Final Submission of Documents,2,30,Black,Female,"$3,200.00","$16,000.00",90016,10
Tenant Approved: Landlord Eligibility Under Review,1,30,Black,Female,"$4,095.00","$15,871.84",90094,11
Tenant Application Received,1,30,White,Male,"$4,850.00","$33,800.00",91352,6
Tenant Pending Final Submission of Documents,1,30,Other,Female,"$3,400.00","$3,460.00",91601,2
Closed Ineligible,4,30,Hispanic,Female,"$1,900.00","$13,300.00",90044, 
Tenant Pending Final Submission of Documents,2,30,Hispanic,Female,"$2,000.00","$1,000.00",90042,1
Tenant Approved: Landlord Pending Final Submission of Documents,4,30,Other,Male,"$1,116.00","$3,548.00",91304,3
Tenant Pending Final Submission of Documents,6,30,Hispanic,Male,"$1,100.00","$5,000.00",90001,9
Closed Ineligible,1,30,Black,Male,"$1,860.00","$6,510.00",90069, 
Tenant Pending Final Submission of Documents,1,30,Black,Female,"$1,350.00","$1,133.63",91605,2
Tenant Pending Final Submission of Documents,2,30,Hispanic,Female,"$1,800.00","$10,800.00",90016,10
Application on Hold,1,30,Other,Male,$478.00,"$2,250.00",90017,1
Tenant Approved: Landlord Pending Final Submission of Documents,1,30,White,Male,"$1,100.00","$6,600.00",91601,2
Application on Hold,2,30,Black,Male,"$2,455.00","$4,910.00",91601,2
Tenant Approved: Landlord Eligibility Under Review,2,30,Other,Female,"$1,600.00","$9,000.00",90012,14
Tenant Application Received,1,30,White,Female,"$2,000.00","$16,000.00",90006,10
Tenant Approved: Closed Landlord Paid,1,30,White,Female,"$1,144.00","$2,632.00",90017,1
Tenant Approved: Landlord Eligibility Under Review,3,30,Hispanic,Female,"$1,096.00","$2,374.00",91402,6
Application on Hold,1,30,Black,Female,"$2,000.00","$4,850.38",91406,6
Tenant Application Received,1,30,Other,Female,"$2,649.00","$71,523.00",90036,5
Application on Hold,1,30,White,Female,"$1,250.00","$7,500.00",91436,4
Tenant Pending Final Submission of Documents,3,30,Hispanic,Male,"$2,048.00","$4,096.00",91405,6
Tenant Pending Final Submission of Documents,5,30,Black,Male,"$1,500.00","$9,000.00",90011,9
Tenant Approved: Landlord Pending Initial Submission of Documents,1,30,Hispanic,Male,"$1,300.00","$3,900.00",90018,8
Tenant Approved: Landlord Eligibility Under Review,1,30,White,Gender Non-Confirming,"$1,395.00","$4,310.00",90028,13
Tenant Application Received,4,30,White,Female,"$1,071.00","$14,371.00",90003,9
Tenant Application Received,1,30,Black,Female,"$1,000.00","$12,000.00",90008,10
Tenant Application Received,2,30,Hispanic,Female,"$1,100.00","$7,700.00",90033,14
Tenant Application Received,1,30,Hispanic,Male,"$1,975.00","$36,074.00",90014,14
Tenant Application Received,2,30,Black,Female,"$2,295.00","$14,835.00",91303,3
Application on Hold,4,30,Hispanic,Female,"$1,975.00","$8,636.60",90731,15
Tenant Application Received,2,30,Black,Female,"$1,600.00","$20,745.00",90043,8
Closed Ineligible,3,30,Black,Female,$992.00,"$3,968.00",90011,9
Tenant Application Received,3,30,Hispanic,Male,"$1,580.00","$14,220.00",91403,4
Closed Ineligible,4,30,Black,Female,"$2,000.00","$14,000.00",90047, 
Tenant Application Received,5,30,Hispanic,Male,"$2,908.00","$10,989.80",91367,3
Tenant Approved: Landlord Pending Final Submission of Documents,3,30,Hispanic,Female,"$1,092.35","$2,096.35",90006,10
Tenant Application Received,3,30,White,Female,"$4,100.00","$41,000.00",90017,1
Tenant Pending Final Submission of Documents,3,30,Hispanic,Female,"$1,200.00","$3,600.00",90007,8
Tenant Application Received,2,30,Black,Female,"$1,800.00","$33,700.00",90731,15
Tenant Pending Final Submission of Documents,1,30,Black,Female,"$1,600.00","$10,050.00",90062,8
Tenant Application Received,4,30,Hispanic,Female,$406.00,"$4,705.80",90731,15
Closed Ineligible,2,30,Hispanic,Female,"$1,320.00","$7,920.00",90031,14
Tenant Pending Final Submission of Documents,3,30,Hispanic,Female,"$2,500.00","$3,009.00",91335,4
Tenant Pending Final Submission of Documents,1,30,White,Female,$980.00,"$3,920.00",90034,5
Tenant Pending Final Submission of Documents,1,30,Black,Female,"$1,695.00","$3,390.00",90019,10
Tenant Approved: Closed Landlord Paid,1,30,White,Male,$700.00,"$2,800.00",91436,4
Closed Ineligible,3,30,Hispanic,Female,"$1,580.00","$8,865.87",91304,3
Tenant Application Received,1,30,White,Male,"$1,359.44","$13,594.40",91602,2
Tenant Application Received,4,30,Hispanic,Male,$976.93,"$6,803.51",90004,10
Application on Hold,2,30,Black,Female,$571.00,"$25,000.00",90011,9
Tenant Approved: Landlord Eligibility Under Review,5,30,Other,Male,"$1,710.00","$7,284.00",90027,13
Tenant Approved: Landlord Final Notification to Respond,5,30,Black,Male,"$1,409.00","$2,715.00",90037,8
Tenant Application Received,1,30,Black,Female,"$1,900.00","$15,200.00",90044,15
Application on Hold,2,30,White,Female,"$1,940.74","$7,762.96",90027,4
Tenant Application Received,2,30,Hispanic,Male,$600.00,"$7,200.00",90042,1
Tenant Approved: Closed Landlord Paid,1,30,Hispanic,Male,"$1,550.00","$1,250.22",91411,4
Tenant Approved: Closed Landlord Paid,1,30,White,Female,"$1,714.36","$1,575.26",91607,2
Closed Ineligible,1,30,Black,Male,"$1,400.00","$11,200.00",90262, 
Tenant Application Received,1,30,Black,Female,$700.00,"$5,300.00",90047,8
Closed Ineligible,2,30,Black,Male,"$1,500.00","$1,500.00",90220, 
Tenant Approved: Landlord Final Notification to Respond,1,30,Asian,Male,"$1,290.00","$7,740.00",90006,10
Tenant Approved: Closed Landlord Paid,4,30,Other,Male,"$2,450.00","$10,000.00",91605,2
Tenant Pending Final Submission of Documents,2,30,Hispanic,Male,"$12,000.00","$72,000.00",91316,4
Tenant Pending Final Submission of Documents,1,30,Hispanic,Female,$966.00,"$2,898.00",91405,6
Tenant Approved: Landlord Pending Final Submission of Documents,3,30,Black,Female,$900.00,"$3,600.00",91367,3
Tenant Approved: Landlord Eligibility Under Review,2,30,Black,Female,"$2,400.00","$7,200.00",90062,8
Tenant Pending Final Submission of Documents,1,30,Black,Male,"$1,195.00","$3,224.00",90008,10
Tenant Application Received,1,30,Asian,Male,"$1,454.96","$15,633.58",91335,4
Tenant Pending Final Submission of Documents,8+,30,Hispanic,Female,"$2,443.00",$865.00,90011,9
Application on Hold,2,30,White,Female,"$2,355.00","$14,130.00",90015,14
Tenant Pending Final Submission of Documents,3,30,Hispanic,Male,"$1,295.00","$1,188.00",90057,1
Tenant Approved: Tenant & Landlord Under Review,3,30,Asian,Male,"$2,950.00","$11,800.00",90020,1
Tenant Approved: Closed Landlord Paid,1,30,Black,Female,"$1,297.00","$7,133.50",90018,10
Tenant Application Received,1,30,Hispanic,Male,"$2,150.00","$21,500.00",91601,2
Tenant Application Received,1,30,Hispanic,Female,"$1,351.61","$17,569.93",90744,15
Tenant Application Received,1,30,Hispanic,Female,"$1,031.44","$7,220.08",90744,15
Tenant Approved: Landlord Pending Initial Submission of Documents,1,30,Other,Male,"$1,260.24","$4,470.72",90028,13
Tenant Application Received,1,30,Black,Female,"$1,108.00","$14,432.00",90002,15
Tenant Application Received,1,30,White,Trans Female,"$1,330.00","$4,830.00",90068,4
Tenant Application Received,1,30,Hispanic,Male,"$2,568.66","$23,590.37",90017,1
Application on Hold,2,30,Hispanic,Male,"$1,505.00","$6,020.00",91405,6
Application on Hold,3,30,Hispanic,Female,"$1,443.00","$7,215.00",90247,15
Tenant Approved: Tenant & Landlord Under Review,3,30,Black,Female,"$1,450.00","$7,250.00",90011,9
Tenant Application Received,2,30,White,Male,"$2,800.00","$19,600.00",91311,12
Tenant Pending Final Submission of Documents,2,30,Hispanic,Female,"$1,750.00","$4,962.56",90028,13
Tenant Application Received,4,30,White,Male,"$2,475.00","$49,000.00",91326,12
Tenant Pending Final Submission of Documents,1,30,Black,Male,$750.00,"$3,000.00",90059,15
Tenant Application Received,1,30,Black,Female,"$1,700.00","$30,600.00",91403,4
Closed Ineligible,4,30,Black,Female,$286.00,"$1,716.00",90059,15
Closed Ineligible,4,30,Hispanic,Male,"$2,145.00","$12,870.00",91702, 
Tenant Application Received,1,30,Black,Male,"$1,800.00","$40,800.00",90011,9
Tenant Application Received,3,30,Hispanic,Female,"$1,800.00","$13,300.00",90002,9
Tenant Pending Final Submission of Documents,6,30,Black,Female,$900.00,"$2,700.00",90047,8
Closed Ineligible,2,30,Other,Male,"$1,500.00","$14,020.00",90059, 
Tenant Application Received,1,30,Hispanic,Male,"$4,000.00","$116,000.00",91303,3
Tenant Application Received,1,30,Black,Female,"$3,800.00","$76,000.00",90018,10
Closed Ineligible,3,30,Hispanic,Female,"$1,100.00","$6,600.00",90805, 
Tenant Application Received,4,30,White,Female,"$2,995.00","$42,147.84",90049,11
Application on Hold,2,30,White,Male,"$3,400.00","$20,400.00",90039,13
Application on Hold,1,30,Black,Female,$611.00,"$1,434.00",90025, 
Application on Hold,1,30,White,Male,"$1,051.00","$5,255.00",91423,4
Tenant Application Received,5,30,White,Male,"$3,537.43","$35,384.30",90045,11
Closed Ineligible,1,30,Black,Male,"$1,693.00","$12,275.83",90302, 
Tenant Approved: Landlord Eligibility Under Review,2,30,Hispanic,Male,"$1,200.00","$1,200.00",90008,10
Tenant Application Received,2,30,Black,Female,"$2,400.00","$21,600.00",90008,8
Tenant Application Received,1,30,White,Female,"$1,471.00","$19,123.00",90027,4
Tenant Application Received,3,30,White,Female,"$2,120.00","$62,240.00",91423,4
Tenant Application Received,4,30,Hispanic,Male,"$1,130.00","$8,790.00",91401,2
Manager Approval Required,1,30,White,Female,$900.00,"$5,400.00",90011,9
Tenant Application Received,1,30,Hispanic,Male,$583.00,"$4,081.00",90005,10
Tenant Approved: Landlord Eligibility Under Review,1,30,Black,Female,"$1,880.00","$5,640.00",90028-4241,13
Application on Hold,1,30,White,Male,"$1,424.00","$4,273.00",91402,6
Tenant Application Received,2,30,Hispanic,Male,"$1,395.00","$2,786.25",91042,7
Tenant Application Received,2,30,Hispanic,Male,"$1,500.00","$12,000.00",90007,9
Tenant Application Received,1,30,Other,Male,"$1,950.00","$17,550.00",91343,6
Tenant Application Received,1,30,Hispanic,Male,$870.00,"$6,090.00",90004,13
Tenant Approved: Closed Landlord Paid,6,30,Hispanic,Female,"$1,563.10",$800.00,90016,10
Tenant Approved: Tenant & Landlord Under Review,3,30,Black,Female,"$1,200.00","$7,200.00",90044,9
Tenant Application Received,1,30,Hispanic,Female,"$4,290.00","$72,930.00",90028,13
Tenant Approved: Landlord Pending Initial Submission of Documents,2,30,White,Male,"$1,742.00","$2,754.00",90025-5623,5
Closed Ineligible,1,30,White,Male,"$1,800.00","$10,800.00",90077,5
Tenant Approved: Closed Landlord Paid,1,30,Other,I prefer not to answer,"$2,180.19","$13,081.14",90024,5
Tenant Application Received,3,30,Hispanic,Male,"$1,103.00","$8,824.00",90004,13
Tenant Eligibility Under Review,1,30,White,Male,"$4,300.00","$25,800.00",91343,12
Tenant Application Received,3,30,Black,Male,"$2,669.83","$49,643.77",90048,5
Tenant Application Received,3,30,Black,Female,"$1,290.00","$10,320.00",90018,8
Tenant Application Received,2,30,Hispanic,Female,"$2,768.76","$53,584.75",90015,14
Application on Hold,1,30,Black,Female,"$1,274.00","$7,644.00",90047,8
Tenant Pending Final Submission of Documents,1,30,Black,Male,"$2,332.00","$5,000.00",90035,5
Tenant Pending Final Submission of Documents,3,30,White,Male,"$5,535.00","$49,815.00",90037,9
Tenant Pending Final Submission of Documents,1,30,Hispanic,Female,"$1,020.00","$2,040.00",90291,11
Application on Hold,3,30,Hispanic,Female,"$2,450.00","$4,900.00",91423,4
Tenant Pending Final Submission of Documents,4,30,Hispanic,Male,"$2,200.00","$2,200.00",20004,10
Tenant Application Received,1,30,Black,Female,"$1,450.00","$11,600.00",90027,13
Tenant Application Received,1,30,White,Female,"$1,695.00","$11,929.18",90034,5
Tenant Application Received,6,30,Other,Female,"$3,634.00","$35,042.00",90019,10
Closed Ineligible,1,30,Black,Female,"$1,800.00","$7,630.00",90221, 
Tenant Application Received,2,30,Hispanic,Male,"$2,100.00","$14,700.00",91331,7
Tenant Pending Final Submission of Documents,4,30,Hispanic,Female,"$1,592.00","$5,971.00",91306,3
Tenant Application Received,1,30,Other,Female,"$1,400.00","$30,175.00",90062,8
Tenant Approved: Landlord Final Notification to Respond,4,30,Hispanic,Male,"$1,100.00","$6,600.00",90006,1
Closed Ineligible,2,30,Black,Female,"$1,300.00","$32,500.00",90059,15
Tenant Application Received,2,30,Asian,Female,"$2,229.00","$23,046.00",91402,6
Tenant Application Received,5,30,Hispanic,Male,"$1,900.00","$17,100.00",90002,15
Closed Ineligible,3,50,White,Female,"$3,786.00","$3,876.00",90211-2804, 
Tenant Approved: Landlord Pending Final Submission of Documents,2,30,Hispanic,Male,"$1,401.44","$6,000.00",90028,13
Tenant Application Received,3,30,Other,Female,$0.00,"$25,300.00",90027,4
Tenant Application Received,2,30,White,Female,"$2,400.00","$22,300.00",90025,5
Manager Approval Required,2,30,Other,Male,"$3,900.00","$23,400.00",90068,4
Closed Ineligible,1,30,Hispanic,Male,$825.02,"$4,950.12",90026,13
Tenant Approved: Tenant & Landlord Under Review,1,30,White,Male,"$1,542.00","$7,710.00",90066,11
Tenant Pending Final Submission of Documents,3,30,White,Male,"$2,675.00","$16,050.00",90035,5
Tenant Application Received,1,30,Black,Female,"$1,653.67","$34,727.07",91423,4
Tenant Application Received,3,30,Other,Female,"$1,015.00","$6,990.00",90012,14
Closed Ineligible,4,30,White,Female,"$1,641.21","$22,976.94",90046, 
Tenant Application Received,1,30,White,Male,"$4,000.00","$28,000.00",91335,3
Tenant Application Received,1,30,White,Male,"$1,800.00","$27,000.00",91604,4
Tenant Approved: Closed Landlord Paid,2,30,Black,Female,"$1,612.00","$8,650.00",90043,8
Tenant Application Received,1,30,Black,Female,"$3,500.00","$45,500.00",90024,5
Tenant Application Received,1,30,White,Female,"$1,995.00","$32,825.00",90013,14
Closed Ineligible,1,30,Other,Female,"$1,485.00","$7,425.00",90250, 
Tenant Application Received,4,30,Other,Female,"$1,640.00","$17,157.93",91405,2
Tenant Application Received,2,30,Hispanic,Female,"$2,061.00","$22,671.00",91316,4
Closed Ineligible,4,30,Black,Female,"$1,833.23","$14,872.61",90044, 
Tenant Application Received,3,30,Hispanic,Male,"$2,800.00","$92,400.00",90023,14
Application on Hold,1,30,Black,Male,"$1,395.00","$1,395.00",90005,10
Application on Hold,1,30,Black,Male,"$1,300.00","$7,800.00",90046,13
Tenant Application Received,1,30,White,Female,"$2,000.00","$18,000.00",91605,2
Application on Hold,3,30,Hispanic,Female,"$1,650.00","$16,500.00",90020,10
Tenant Pending Final Submission of Documents,1,30,Black,Male,"$3,511.85","$10,535.55",90028,13
Tenant Approved: Landlord Final Notification to Respond,1,30,Black,Female,$824.00,"$3,696.00",90008,10
Tenant Application Received,2,30,Hispanic,Male,"$1,852.94","$12,970.58",91605,2
Tenant Pending Final Submission of Documents,2,30,Black,Female,"$1,100.00","$6,600.00",90044,8
Tenant Application Received,1,30,Black,Male,"$2,600.00","$26,000.00",90014,14
Tenant Application Received,2,30,White,Female,"$2,750.00","$22,000.00",91331,6
Tenant Application Received,1,30,Black,Female,"$1,650.00","$16,300.00",90018,10
Closed Ineligible,1,30,Hispanic,Female,"$1,534.00","$5,056.00",90813, 
Tenant Pending Final Submission of Documents,1,30,Black,Male,"$2,000.00","$2,000.00",90003,9
Tenant Approved: Closed Landlord Paid,3,30,White,Male,"$1,700.00","$5,100.66",90005,10
Tenant Approved: Landlord Pending Initial Submission of Documents,1,30,White,Male,"$2,080.00","$4,160.00",90068,4
Tenant Application Received,4,30,Other,Female,"$3,133.00","$40,729.00",90094,11
Tenant Approved: Landlord Final Notification to Respond,3,30,Hispanic,Female,"$1,596.61","$1,596.61",90004,13
Application on Hold,2,30,Black,Female,"$1,795.00","$1,890.00",90016,10
Tenant Approved: Closed Landlord Paid,2,30,White,Female,"$2,500.00","$10,000.00",91367,3
Tenant Application Received,4,30,Hispanic,Female,"$2,145.00","$16,585.00",90032,14
Tenant Application Received,4,30,White,Female,"$3,000.00","$24,000.00",91406,6
Tenant Application Received,1,30,Black,Male,$500.00,"$3,500.00",90013,14
Closed Ineligible,5,50,Hispanic,Female,"$2,800.00","$5,500.00",90602, 
Tenant Application Received,4,30,Black,Female,"$1,975.00","$31,600.00",90003,9
Closed Ineligible,2,30,White,Female,"$2,013.75","$3,600.61",91722, 
Closed Ineligible,4,50,Hispanic,Female,"$1,270.00","$7,620.00",90063, 
Tenant Pending Final Submission of Documents,2,30,White,Female,"$2,300.00",$350.00,90042,1
Closed Ineligible,1,30,Hispanic,Female,"$1,975.58","$3,951.16",91411,4
Tenant Application Received,1,30,Black,Male,"$1,500.00","$10,500.00",90003,9
Tenant Application Received,2,30,Hispanic,Female,"$1,950.00","$23,000.00",91402,6
Tenant Application Received,1,30,White,Female,"$1,708.00","$18,788.00",90027,4
Tenant Application Received,3,30,Other,Female,"$1,100.00","$9,900.00",90039,13
Tenant Application Received,2,30,White,Female,"$1,426.41","$12,211.28",90027,13
Tenant Pending Final Submission of Documents,2,30,Black,Female,"$1,134.00","$3,402.00",90021,9
Tenant Application Received,1,30,Asian,Male,"$2,486.00","$39,776.00",90010,10
Tenant Approved: Closed Landlord Paid,3,30,Hispanic,Female,"$2,788.00","$8,364.00",91604,4
Tenant Pending Final Submission of Documents,2,30,Black,Male,"$2,300.00","$3,000.00",90012,14
Tenant Application Received,1,30,Asian,Female,"$2,429.26","$39,829.50",90077,5
Tenant Application Received,5,30,White,Male,"$3,500.00","$28,000.00",91605,2
Landlord Application Submitted Pending Tenant,, ,Other,,$0.00,$0.00,,
Closed Ineligible,1,30,Black,Male,"$1,750.00","$12,250.00",90044, 
Tenant Application Received,2,30,Black,Male,"$2,078.61","$16,628.88",91601,2
Tenant Eligibility Under Review,3,30,White,Male,"$5,800.00","$52,200.00",90032,14
Tenant Application Received,2,30,Other,Male,"$1,305.00","$15,660.00",90020,10
Closed Ineligible,1,30,Hispanic,Female,"$2,000.00","$12,000.00",90047,8
Tenant Pending Final Submission of Documents,2,30,White,Male,"$6,500.00","$39,000.00",91356,3
Tenant Pending Final Submission of Documents,1,30,Black,Female,"$1,734.00","$1,734.00",91601,2
Tenant Approved: Landlord Final Notification to Respond,3,30,Hispanic,Female,"$1,300.00","$5,200.00",91343,7
Application on Hold,2,30,Asian,Female,"$2,000.00","$6,000.00",90043,8
Tenant Pending Final Submission of Documents,1,30,Black,Female,"$1,195.00","$7,170.00",91601,2
Tenant Application Received,4,30,Hispanic,Female,"$2,075.00","$31,125.00",91364,3
Tenant Pending Final Submission of Documents,4,30,Hispanic,Female,"$1,602.00","$9,612.00",90001,9
Tenant Pending Final Submission of Documents,1,30,White,Female,"$3,852.62","$11,657.87",90015,14
Tenant Pending Final Submission of Documents,6,30,Hispanic,Female,"$2,180.00","$3,760.00",90006,1
Tenant Application Received,1,30,Hispanic,Male,"$2,500.00","$45,000.00",90068,4
Tenant Application Received,1,30,Hispanic,Male,$950.00,"$10,450.00",90032,14
Tenant Application Received,1,30,Black,Female,"$1,838.00","$17,342.78",91423,4
Tenant Approved: Landlord Eligibility Under Review,2,30,Hispanic,Female,"$1,800.00","$2,503.61",90032,14
Tenant Application Received,3,30,Asian,Female,"$3,150.00","$31,873.32",90010,10
Tenant Pending Final Submission of Documents,2,30,White,Male,"$1,300.00","$1,000.00",91606,2
Tenant Application Received,1,30,Other,I prefer not to answer,"$3,250.00","$55,250.00",90025,5
Closed Ineligible,2,30,Hispanic,Male,"$1,595.00","$6,380.00",90242, 
Tenant Pending Initial Submission of Documents,2,50,Black,Male,"$2,000.00","$10,250.00",90008,10
Tenant Application Received,1,30,Other,Male,"$2,500.00","$22,500.00",90044,8
Tenant Pending Final Submission of Documents,3,30,Hispanic,Female,"$1,700.00","$1,200.00",91335,4
Tenant Application Received,1,30,Hispanic,Male,"$2,318.00","$38,115.19",90014,14
Tenant Application Received,2,30,Asian,Male,"$1,857.00","$25,074.00",90019,10
Tenant Application Received,2,30,White,Male,"$2,150.00","$19,231.60",90028,13
Tenant Application Received,2,30,Hispanic,Female,"$2,800.00","$19,775.00",90062,8
Tenant Pending Final Submission of Documents,1,30,Black,Female,"$3,000.00","$12,000.00",91605,6
Tenant Pending Final Submission of Documents,2,30,Hispanic,Female,$823.19,"$1,368.34",90731,15
Closed Ineligible,3,30,Black,Female,$500.00,"$5,500.00",90059, 
Tenant Application Received,1,30,Black,Female,"$1,069.00","$6,960.00",90017,1
Application on Hold,3,30,Hispanic,Female,"$1,900.00","$13,300.00",90039,13
Tenant Application Received,1,30,Hispanic,Male,$850.00,"$16,150.00",90744,15
Tenant Pending Final Submission of Documents,2,30,Hispanic,Female,$200.00,"$1,400.00",90004,13
Closed Ineligible,, ,Other,,$0.00,$0.00,,
Tenant Application Received,5,30,Hispanic,Male,"$2,100.00","$37,800.00",90005,10
Application on Hold,1,30,Black,Female,"$3,123.00","$6,246.00",91367,3
Tenant Pending Final Submission of Documents,2,30,White,Male,"$2,700.00","$16,200.00",90291,11
Tenant Approved: Landlord Eligibility Under Review,2,30,White,Male,"$1,392.00","$18,096.00",90025,5
Tenant Pending Final Submission of Documents,3,30,Hispanic,Female,"$1,148.00","$2,296.00",90011,9
Closed Ineligible,3,30,Hispanic,Female,"$1,280.00","$25,600.00",90002,15
Application on Hold,1,30,White,Female,"$1,495.00","$6,990.00",91606,2
Tenant Pending Final Submission of Documents,3,30,Black,Female,"$1,368.00","$8,208.00",90002,8
Closed Ineligible,2,50,Black,Male,"$2,850.00","$14,250.00",90061, 
Tenant Approved: Closed Landlord Paid,2,30,Hispanic,Female,"$1,000.00","$6,000.00",91607,2
Tenant Eligibility Under Review,6,30,Hispanic,Female,"$1,654.00","$9,924.00",90744,15
Closed Ineligible,1,30,White,Female,"$3,700.00","$21,000.00",91352,6
Closed Ineligible,1,30,Black,Female,"$1,856.88","$17,328.41",90046, 
Tenant Application Received,1,30,Black,Male,"$1,150.00","$18,400.00",90044,15
Tenant Pending Final Submission of Documents,2,30,Hispanic,Male,"$1,375.00","$1,375.00",90005,10
Tenant Pending Final Submission of Documents,4,30,Black,Female,$721.00,"$1,442.00",90004,13
Tenant Application Received,2,30,Other,Female,"$2,957.00","$27,818.00",90015,14
Application on Hold,4,30,Other,Female,"$1,974.00","$10,153.00",91325,12
Closed Ineligible,4,30,Hispanic,Male,"$2,200.00","$48,400.00",93536, 
Tenant Application Received,4,30,Black,Female,"$1,200.00","$8,000.00",90019,10
Tenant Approved: Pending Payment to the Landlord,1,30,Black,Male,"$1,100.00","$2,253.00",90008,10
Tenant Application Received,1,30,Black,Trans Female,"$2,500.00","$17,500.00",90023,14
Tenant Application Received,3,30,White,Male,"$2,351.28","$21,161.52",91423,4
Tenant Pending Final Submission of Documents,5,30,Hispanic,Male,"$1,500.00","$6,000.00",90002,9
Tenant Approved: Closed Landlord Paid,1,30,White,Male,"$1,405.10","$6,561.43",90028,13
Tenant Application Received,1,30,Other,Female,"$1,400.00","$9,800.00",90004,13
Tenant Application Received,1,30,Black,Female,"$1,402.83","$14,220.33",90017,1
Closed Ineligible,5,30,Hispanic,Female,$555.00,"$2,240.00",90230,11
Tenant Pending Final Submission of Documents,1,30,Hispanic,Male,"$1,354.42","$12,000.00",90020,10
Tenant Application Received,1,30,Black,Male,"$1,065.03","$44,731.26",90017,1
Tenant Application Received,3,30,Black,Male,"$3,300.00","$33,000.00",90044,8
Closed Ineligible,1,80,Black,Male,"$1,200.00","$3,600.00",90027,4
Tenant Application Received,3,30,Hispanic,Male,"$2,100.00","$14,700.00",90063,14
Tenant Application Received,3,30,Hispanic,Male,"$1,750.00","$41,386.00",90061,8
Application on Hold,1,30,Black,Male,$675.00,"$3,125.00",90004, 
Tenant Application Received,3,30,Hispanic,Female,"$1,360.00","$13,600.00",90012,14
Tenant Application Received,2,30,Hispanic,Female,"$1,073.00","$13,949.00",90034,10
Tenant Application Received,3,30,Black,Female,"$1,300.00","$16,900.00",90008,10
Tenant Application Received,2,30,Other,Female,"$3,200.00","$28,800.00",91606,2
Application on Hold,1,30,Black,Male,"$1,273.63","$7,641.78",91405,2
Tenant Application Received,1,30,Black,Female,"$3,500.00","$31,500.00",90043,8
Tenant Application Received,1,30,Other,Male,"$1,078.00","$8,469.00",90013,14
Tenant Pending Final Submission of Documents,2,30,Black,Male,"$1,095.00","$5,870.00",90037,9
Tenant Approved: Landlord Eligibility Under Review,2,30,Black,Female,"$2,650.00","$14,810.00",90047,8
Tenant Application Received,1,50,Black,Female,"$2,475.00","$14,850.00",90044, 
Tenant Application Received,2,30,White,Female,"$1,500.00","$22,500.00",91325, 
Tenant Application Received,6,30,Hispanic,Female,"$2,395.00","$43,110.00",90023,14
Tenant Approved: Landlord Final Notification to Respond,3,30,Black,Female,"$2,850.00","$1,335.85",91402,6
Tenant Application Received,4,80,Hispanic,Male,"$2,300.00","$11,370.00",90011,9
Closed Ineligible,7,30,Hispanic,Female,"$2,080.00","$16,640.00",93552, 
Closed Ineligible,5,30,Black,Male,"$3,200.00","$38,400.00",93536, 
Tenant Application Received,4,30,Hispanic,Male,"$1,204.07","$17,968.98",90044,8
Tenant Pending Final Submission of Documents,1,30,Black,Female,"$2,350.00",$990.00,90005,10
Tenant Application Received,1,30,Black,Male,$775.00,"$6,045.00",90037,8
Application on Hold,2,30,White,Female,"$1,900.00","$11,400.00",90027,4
Closed Ineligible,2,30,Black,Female,"$1,400.00","$20,800.00",90047,8
Tenant Application Received,5,30,Hispanic,Female,"$2,240.00","$33,450.00",91402,6
Tenant Pending Final Submission of Documents,1,30,White,Female,"$1,695.00","$10,170.00",91356,3
Tenant Application Received,2,30,Black,Male,"$1,726.16","$39,701.68",90018-3631,10
Tenant Application Received,4,30,Asian,Female,"$2,409.81","$24,018.72",91364,3
Tenant Approved: Closed Landlord Paid,2,30,Black,Female,"$2,061.00","$4,661.00",91306,3
Tenant Application Received,1,30,Black,Male,"$2,000.00","$14,350.00",90047,8
Tenant Pending Final Submission of Documents,1,30,Other,Female,"$2,881.00","$8,643.00",90012,1
Tenant Application Received,3,30,Black,Female,"$2,500.00","$16,000.00",90012,1
Tenant Pending Final Submission of Documents,2,30,Hispanic,Male,"$1,248.00","$7,488.00",90026,13
Tenant Application Received,1,30,Black,Female,"$1,682.00","$13,456.00",90036,5
Tenant Approved: Landlord Final Notification to Respond,3,30,Other,Female,"$1,400.00","$4,068.06",91324,12
Application on Hold,1,30,Hispanic,Female,"$1,400.00","$9,800.00",90744,15
Tenant Application Received,2,30,Black,Female,"$1,466.00","$10,899.40",90230,11
Tenant Approved: Landlord Eligibility Under Review,1,30,Other,Female,"$3,700.00","$22,200.00",91303,3
Closed Ineligible,1,30,Black,Male,"$1,800.00","$18,000.00",91356,3
Tenant Pending Final Submission of Documents,2,30,Black,Male,"$1,850.00","$8,350.00",91401,4
Tenant Pending Final Submission of Documents,2,30,Hispanic,Male,"$3,190.00","$9,570.00",90013,14
Closed Ineligible,1,30,Black,Male,$0.00,"$18,406.00",90046, 
Application on Hold,1,30,Hispanic,Male,"$1,039.24","$1,254.73",90037,9
Tenant Application Received,1,30,White,Female,"$1,800.00","$17,400.00",91303,3
Application on Hold,4,30,Hispanic,Female,"$2,500.00","$4,448.84",91325,12
Tenant Approved: Landlord Eligibility Under Review,2,30,White,Female,"$3,290.83","$4,969.66",90012,14
Closed Ineligible,1,30,Hispanic,Male,"$1,080.00","$9,720.00",91776, 
Tenant Pending Final Submission of Documents,4,30,Hispanic,Female,"$1,328.40","$4,799.16",90029,13
